circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_000413	1.825534972	1.092616134	0	74.33985285	174.0725993	0
novel_circ_000414	1.825534972	4.370464537	2.51183903	1.304207945	27.07795989	0
novel_circ_000421	3.651069944	8.194621006	1.883879273	0	0	0
novel_circ_000422	2.738302458	4.370464537	5.33765794	0	0	0
novel_circ_000429	17.34258224	3.82415647	0	7.825247669	0	0
novel_circ_000430	19.16811721	13.11139361	16.3269537	0	0	0
novel_circ_000431	3.651069944	3.277848402	0	15.65049534	0	0
novel_circ_000432	3.651069944	4.916772604	15.38501406	2.60841589	0	0
novel_circ_000434	7.302139889	13.65770168	0	2.60841589	0	0
novel_circ_000435	16.42981475	10.37985327	17.58287321	20.86732712	0	123.569814
novel_circ_000437	3.651069944	9.28723714	14.12909455	20.86732712	7.736559969	0
novel_circ_000442	31.03409453	45.34356957	12.87317503	32.60519862	0	0
novel_circ_000443	0.912767486	0.546308067	7.221537212	0	0	0
novel_circ_000447	3.651069944	2.185232268	0	22.17153506	0	0
novel_circ_000451	42.90007185	17.48185815	0	27.38836684	0	0
novel_circ_000458	6.389372403	10.92616134	12.55919515	0	0	0
novel_circ_000462	3.651069944	4.370464537	7.221537212	0	7.736559969	0
novel_circ_000464	0.912767486	1.092616134	2.51183903	0	0	0
novel_circ_000471	65.719259	84.13144233	7.221537212	14.34628739	646.0027574	26.97650868
novel_circ_000475	4.56383743	2.731540335	0	10.43366356	0	0
novel_circ_000479	7.302139889	12.01877748	0	13.04207945	3.868279985	0
novel_circ_000494	1.825534972	1.092616134	1.255919515	0	0	0
novel_circ_000500	0	4.370464537	0	7.825247669	0	92.2422555
novel_circ_000515	1.825534972	4.916772604	5.651637818	10.43366356	0	0
novel_circ_000516	10.04044235	64.46435192	28.25818909	0	34.81451986	85.28057584
novel_circ_000517	8.214907375	5.463080671	0	3.912623834	0	0
novel_circ_000542	17.34258224	2.731540335	0	5.216831779	0	0
novel_circ_000545	9.127674861	1.092616134	0	13.04207945	0	0
novel_circ_000546	0.912767486	7.102004872	0	10.43366356	0	0
novel_circ_000551	5.476604917	0.546308067	10.67531588	0	0	0
novel_circ_000554	0	1.092616134	5.023678061	5.216831779	0	0
novel_circ_000556	10.04044235	1.092616134	8.791436606	0	0	0
novel_circ_000561	0.912767486	2.185232268	7.221537212	0	0	0
novel_circ_000562	3.651069944	1.092616134	2.197859152	32.60519862	0	0
novel_circ_000568	16.42981475	1.092616134	0	9.129455613	0	0
novel_circ_000569	337.7239699	122.9193151	91.36814473	46.95148601	0	0
novel_circ_000573	291.1728281	137.1233248	153.8501406	143.4628739	0	0.870209958
novel_circ_000574	123.2236106	44.25095343	39.87544461	0	0	0
novel_circ_000577	165.210915	96.15021981	107.0671387	36.51782245	54.15591979	67.87637669
novel_circ_000578	9.127674861	8.740929073	8.163476849	0	0	0
novel_circ_000583	65.719259	88.50190687	94.8219234	67.81881313	23.20967991	29.58713856
novel_circ_000587	0.912767486	1.092616134	0	0	23.20967991	0
novel_circ_000592	37.42346693	23.49124688	0	57.38514957	0	0
novel_circ_000603	3.651069944	8.194621006	5.023678061	0	116.0483995	0
novel_circ_000605	30.12132704	2.731540335	0	5.216831779	0	0
novel_circ_000606	29.20855955	1.092616134	0	41.73465423	0	0
novel_circ_000608	11.86597732	3.277848402	0	10.43366356	0	0
novel_circ_000614	35.59793196	18.57447428	21.97859152	31.30099067	0	0
novel_circ_000615	15.51704726	1.092616134	0	7.825247669	0	0
novel_circ_000618	15.51704726	25.13017109	17.26889333	83.46930846	0	75.70826631
novel_circ_000623	0.912767486	0	6.279597576	20.86732712	0	47.86154767
novel_circ_000624	3.651069944	1.092616134	9.419396364	2.60841589	0	0
novel_circ_000625	2.738302458	2.185232268	1.255919515	0	0	0
novel_circ_000628	33.77239699	24.03755495	26.6882897	2.60841589	100.5752796	0
novel_circ_000630	1.825534972	2.185232268	0	2.60841589	0	0
